enhancer_id,gene,effect,fold_change,distance_bp,mechanism,tissue,confidence,evidence
TP53:Enhancer1,TP53,activates,4.4,50000,enhancer_RNA,ubiquitous,0.54,Hi-C+eQTL
TP53:Enhancer2,TP53,activates,21.8,12000,cohesin_mediated,bone_marrow,0.59,Hi-C+eQTL
BRCA1:Enhancer1,BRCA1,activates,23.5,25000,cohesin_mediated,bone_marrow,0.53,Hi-C+eQTL
BRCA1:Enhancer2,BRCA1,activates,7.3,120000,enhancer_RNA,blood,0.69,Hi-C+eQTL
BRCA2:Enhancer1,BRCA2,activates,15.2,120000,enhancer_RNA,kidney,0.61,Hi-C+eQTL
BRCA2:Enhancer2,BRCA2,activates,19.3,25000,chromatin_looping,skin,0.57,Hi-C+eQTL
EGFR:Enhancer1,EGFR,activates,11.7,120000,enhancer_RNA,colon,0.5,Hi-C+eQTL
EGFR:Enhancer2,EGFR,activates,13.3,120000,chromatin_looping,ubiquitous,0.75,Hi-C+eQTL
KRAS:Enhancer1,KRAS,activates,14.8,25000,chromatin_looping,liver,0.54,Hi-C+eQTL
KRAS:Enhancer2,KRAS,activates,14.0,8000,chromatin_looping,brain,0.56,Hi-C+eQTL
MYC:Enhancer1,MYC,activates,14.5,50000,cohesin_mediated,colon,0.61,Hi-C+eQTL
APC:Enhancer1,APC,activates,6.0,25000,chromatin_looping,pancreas,0.82,Hi-C+eQTL
APC:Enhancer2,APC,activates,21.8,12000,chromatin_looping,muscle,0.83,Hi-C+eQTL
PTEN:Enhancer1,PTEN,activates,21.8,8000,chromatin_looping,pancreas,0.58,Hi-C+eQTL
RB1:Enhancer1,RB1,activates,2.9,50000,enhancer_RNA,kidney,0.53,Hi-C+eQTL
CFTR:Enhancer1,CFTR,activates,17.3,25000,enhancer_RNA,lung,0.72,Hi-C+eQTL
CFTR:Enhancer2,CFTR,activates,25.0,50000,chromatin_looping,liver,0.54,Hi-C+eQTL
HBB:Enhancer1,HBB,activates,17.1,120000,chromatin_looping,skin,0.63,Hi-C+eQTL
HTT:Enhancer1,HTT,activates,2.5,120000,enhancer_RNA,muscle,0.88,Hi-C+eQTL
DMD:Enhancer1,DMD,activates,23.4,30000,chromatin_looping,ubiquitous,0.98,Hi-C+eQTL
DMD:Enhancer2,DMD,activates,18.8,25000,enhancer_RNA,muscle,0.88,Hi-C+eQTL
FMR1:Enhancer1,FMR1,activates,17.5,12000,cohesin_mediated,bone_marrow,0.66,Hi-C+eQTL
FMR1:Enhancer2,FMR1,activates,7.6,50000,cohesin_mediated,brain,0.97,Hi-C+eQTL
MECP2:Enhancer1,MECP2,activates,17.1,12000,enhancer_RNA,muscle,0.81,Hi-C+eQTL
APOE:Enhancer1,APOE,activates,13.5,8000,cohesin_mediated,pancreas,0.58,Hi-C+eQTL
