gene,disease_id,association_type,molecular_effect,inheritance,evidence_level,source
TP53,MONDO:0018875,causal,loss_of_function,autosomal_dominant,strong,OMIM
TP53,MONDO:0004993,predisposition,loss_of_function,somatic,strong,COSMIC
BRCA1,MONDO:0007254,causal,loss_of_function,autosomal_dominant,strong,ClinVar
BRCA2,MONDO:0007254,causal,loss_of_function,autosomal_dominant,strong,ClinVar
EGFR,MONDO:0005233,driver,gain_of_function,somatic,strong,COSMIC
KRAS,MONDO:0005575,driver,gain_of_function,somatic,strong,COSMIC
KRAS,MONDO:0009831,driver,gain_of_function,somatic,strong,COSMIC
MYC,MONDO:0009693,driver,gain_of_function,somatic,strong,COSMIC
APC,MONDO:0021056,causal,loss_of_function,autosomal_dominant,strong,OMIM
PTEN,MONDO:0016063,causal,loss_of_function,autosomal_dominant,strong,OMIM
RB1,MONDO:0008380,causal,loss_of_function,autosomal_dominant,strong,OMIM
CFTR,MONDO:0009061,causal,loss_of_function,autosomal_recessive,definitive,OMIM
HBB,MONDO:0011382,causal,altered_function,autosomal_recessive,definitive,OMIM
HBB,MONDO:0009902,causal,loss_of_function,autosomal_recessive,definitive,OMIM
HTT,MONDO:0007739,causal,gain_of_function,autosomal_dominant,definitive,OMIM
DMD,MONDO:0010679,causal,loss_of_function,x_linked_recessive,definitive,OMIM
FMR1,MONDO:0010383,causal,loss_of_function,x_linked_dominant,definitive,OMIM
MECP2,MONDO:0010726,causal,loss_of_function,x_linked_dominant,definitive,OMIM
APOE,MONDO:0004975,susceptibility,risk_allele,risk_factor,strong,GWAS
APP,MONDO:0004975,causal,gain_of_function,autosomal_dominant,strong,OMIM
PSEN1,MONDO:0004975,causal,gain_of_function,autosomal_dominant,definitive,OMIM
SNCA,MONDO:0005180,causal,gain_of_function,autosomal_dominant,strong,OMIM
LRRK2,MONDO:0005180,causal,gain_of_function,autosomal_dominant,strong,OMIM
SOD1,MONDO:0004976,causal,gain_of_function,autosomal_dominant,strong,OMIM
G6PD,MONDO:0010214,causal,loss_of_function,x_linked_recessive,definitive,OMIM
LDLR,MONDO:0007750,causal,loss_of_function,autosomal_dominant,definitive,OMIM
MLH1,MONDO:0005835,causal,loss_of_function,autosomal_dominant,strong,OMIM
MSH2,MONDO:0005835,causal,loss_of_function,autosomal_dominant,strong,OMIM
VHL,MONDO:0008667,causal,loss_of_function,autosomal_dominant,definitive,OMIM
NF1,MONDO:0018975,causal,loss_of_function,autosomal_dominant,definitive,OMIM
NF2,MONDO:0007034,causal,loss_of_function,autosomal_dominant,definitive,OMIM
TSC1,MONDO:0001734,causal,loss_of_function,autosomal_dominant,strong,OMIM
TSC2,MONDO:0001734,causal,loss_of_function,autosomal_dominant,strong,OMIM
FBN1,MONDO:0007947,causal,dominant_negative,autosomal_dominant,definitive,OMIM
COL1A1,MONDO:0019019,causal,dominant_negative,autosomal_dominant,definitive,OMIM
PAH,MONDO:0009861,causal,loss_of_function,autosomal_recessive,definitive,OMIM
GBA,MONDO:0018150,causal,loss_of_function,autosomal_recessive,definitive,OMIM
GBA,MONDO:0005180,susceptibility,risk_allele,risk_factor,strong,GWAS
SMN1,MONDO:0001516,causal,loss_of_function,autosomal_recessive,definitive,OMIM
ATM,MONDO:0008840,causal,loss_of_function,autosomal_recessive,definitive,OMIM
WT1,MONDO:0006058,causal,loss_of_function,autosomal_dominant,strong,OMIM
MEN1,MONDO:0007540,causal,loss_of_function,autosomal_dominant,definitive,OMIM
RET,MONDO:0017827,causal,gain_of_function,autosomal_dominant,definitive,OMIM
KIT,MONDO:0011719,driver,gain_of_function,somatic,strong,COSMIC
ABL1,MONDO:0011996,driver,gain_of_function,somatic,definitive,COSMIC
BCR,MONDO:0011996,driver,fusion,somatic,definitive,COSMIC
FLT3,MONDO:0018874,driver,gain_of_function,somatic,strong,COSMIC
JAK2,MONDO:0009891,driver,gain_of_function,somatic,definitive,COSMIC
IDH1,MONDO:0018177,driver,neomorphic,somatic,strong,COSMIC
CDKN2A,MONDO:0005105,predisposition,loss_of_function,autosomal_dominant,strong,OMIM
MITF,MONDO:0005105,susceptibility,risk_allele,risk_factor,moderate,GWAS
VEGFA,MONDO:0005010,susceptibility,risk_allele,risk_factor,moderate,GWAS
TNF,MONDO:0008383,susceptibility,risk_allele,risk_factor,strong,GWAS
IL6,MONDO:0008383,susceptibility,risk_allele,risk_factor,moderate,GWAS
INS,MONDO:0011073,causal,loss_of_function,autosomal_dominant,strong,OMIM
GCK,MONDO:0007449,causal,loss_of_function,autosomal_dominant,definitive,OMIM
HNF1A,MONDO:0007451,causal,loss_of_function,autosomal_dominant,definitive,OMIM
F8,MONDO:0010602,causal,loss_of_function,x_linked_recessive,definitive,OMIM
F9,MONDO:0010603,causal,loss_of_function,x_linked_recessive,definitive,OMIM
CYP21A2,MONDO:0018543,causal,loss_of_function,autosomal_recessive,definitive,OMIM
