gene,element_id,element_label,rel
TP53,TP53:CorePromoter,CorePromoter,HAS_ELEMENT
TP53,TP53:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
TP53,TP53:TATABox,TATABox,HAS_ELEMENT
TP53,TP53:CpGIsland,CpGIsland,HAS_ELEMENT
TP53,TP53:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
TP53,TP53:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
TP53,TP53:PolyASignal,PolyASignal,HAS_ELEMENT
TP53,TP53:Terminator,Terminator,HAS_ELEMENT
BRCA1,BRCA1:CorePromoter,CorePromoter,HAS_ELEMENT
BRCA1,BRCA1:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
BRCA1,BRCA1:TATABox,TATABox,HAS_ELEMENT
BRCA1,BRCA1:CpGIsland,CpGIsland,HAS_ELEMENT
BRCA1,BRCA1:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
BRCA1,BRCA1:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
BRCA1,BRCA1:PolyASignal,PolyASignal,HAS_ELEMENT
BRCA1,BRCA1:Terminator,Terminator,HAS_ELEMENT
BRCA2,BRCA2:CorePromoter,CorePromoter,HAS_ELEMENT
BRCA2,BRCA2:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
BRCA2,BRCA2:TATABox,TATABox,HAS_ELEMENT
BRCA2,BRCA2:CpGIsland,CpGIsland,HAS_ELEMENT
BRCA2,BRCA2:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
BRCA2,BRCA2:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
BRCA2,BRCA2:PolyASignal,PolyASignal,HAS_ELEMENT
BRCA2,BRCA2:Terminator,Terminator,HAS_ELEMENT
EGFR,EGFR:CorePromoter,CorePromoter,HAS_ELEMENT
EGFR,EGFR:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
EGFR,EGFR:TATABox,TATABox,HAS_ELEMENT
EGFR,EGFR:CpGIsland,CpGIsland,HAS_ELEMENT
EGFR,EGFR:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
EGFR,EGFR:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
EGFR,EGFR:PolyASignal,PolyASignal,HAS_ELEMENT
EGFR,EGFR:Terminator,Terminator,HAS_ELEMENT
KRAS,KRAS:CorePromoter,CorePromoter,HAS_ELEMENT
KRAS,KRAS:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
KRAS,KRAS:TATABox,TATABox,HAS_ELEMENT
KRAS,KRAS:CpGIsland,CpGIsland,HAS_ELEMENT
KRAS,KRAS:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
KRAS,KRAS:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
KRAS,KRAS:PolyASignal,PolyASignal,HAS_ELEMENT
KRAS,KRAS:Terminator,Terminator,HAS_ELEMENT
MYC,MYC:CorePromoter,CorePromoter,HAS_ELEMENT
MYC,MYC:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
MYC,MYC:TATABox,TATABox,HAS_ELEMENT
MYC,MYC:CpGIsland,CpGIsland,HAS_ELEMENT
MYC,MYC:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
MYC,MYC:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
MYC,MYC:PolyASignal,PolyASignal,HAS_ELEMENT
MYC,MYC:Terminator,Terminator,HAS_ELEMENT
APC,APC:CorePromoter,CorePromoter,HAS_ELEMENT
APC,APC:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
APC,APC:TATABox,TATABox,HAS_ELEMENT
APC,APC:CpGIsland,CpGIsland,HAS_ELEMENT
APC,APC:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
APC,APC:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
APC,APC:PolyASignal,PolyASignal,HAS_ELEMENT
APC,APC:Terminator,Terminator,HAS_ELEMENT
PTEN,PTEN:CorePromoter,CorePromoter,HAS_ELEMENT
PTEN,PTEN:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
PTEN,PTEN:TATABox,TATABox,HAS_ELEMENT
PTEN,PTEN:CpGIsland,CpGIsland,HAS_ELEMENT
PTEN,PTEN:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
PTEN,PTEN:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
PTEN,PTEN:PolyASignal,PolyASignal,HAS_ELEMENT
PTEN,PTEN:Terminator,Terminator,HAS_ELEMENT
RB1,RB1:CorePromoter,CorePromoter,HAS_ELEMENT
RB1,RB1:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
RB1,RB1:TATABox,TATABox,HAS_ELEMENT
RB1,RB1:CpGIsland,CpGIsland,HAS_ELEMENT
RB1,RB1:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
RB1,RB1:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
RB1,RB1:PolyASignal,PolyASignal,HAS_ELEMENT
RB1,RB1:Terminator,Terminator,HAS_ELEMENT
CFTR,CFTR:CorePromoter,CorePromoter,HAS_ELEMENT
CFTR,CFTR:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
CFTR,CFTR:TATABox,TATABox,HAS_ELEMENT
CFTR,CFTR:CpGIsland,CpGIsland,HAS_ELEMENT
CFTR,CFTR:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
CFTR,CFTR:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
CFTR,CFTR:PolyASignal,PolyASignal,HAS_ELEMENT
CFTR,CFTR:Terminator,Terminator,HAS_ELEMENT
HBB,HBB:CorePromoter,CorePromoter,HAS_ELEMENT
HBB,HBB:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
HBB,HBB:TATABox,TATABox,HAS_ELEMENT
HBB,HBB:CpGIsland,CpGIsland,HAS_ELEMENT
HBB,HBB:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
HBB,HBB:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
HBB,HBB:PolyASignal,PolyASignal,HAS_ELEMENT
HBB,HBB:Terminator,Terminator,HAS_ELEMENT
HTT,HTT:CorePromoter,CorePromoter,HAS_ELEMENT
HTT,HTT:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
HTT,HTT:TATABox,TATABox,HAS_ELEMENT
HTT,HTT:CpGIsland,CpGIsland,HAS_ELEMENT
HTT,HTT:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
HTT,HTT:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
HTT,HTT:PolyASignal,PolyASignal,HAS_ELEMENT
HTT,HTT:Terminator,Terminator,HAS_ELEMENT
DMD,DMD:CorePromoter,CorePromoter,HAS_ELEMENT
DMD,DMD:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
DMD,DMD:TATABox,TATABox,HAS_ELEMENT
DMD,DMD:CpGIsland,CpGIsland,HAS_ELEMENT
DMD,DMD:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
DMD,DMD:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
DMD,DMD:PolyASignal,PolyASignal,HAS_ELEMENT
DMD,DMD:Terminator,Terminator,HAS_ELEMENT
FMR1,FMR1:CorePromoter,CorePromoter,HAS_ELEMENT
FMR1,FMR1:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
FMR1,FMR1:TATABox,TATABox,HAS_ELEMENT
FMR1,FMR1:CpGIsland,CpGIsland,HAS_ELEMENT
FMR1,FMR1:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
FMR1,FMR1:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
FMR1,FMR1:PolyASignal,PolyASignal,HAS_ELEMENT
FMR1,FMR1:Terminator,Terminator,HAS_ELEMENT
MECP2,MECP2:CorePromoter,CorePromoter,HAS_ELEMENT
MECP2,MECP2:ProximalPromoter,ProximalPromoter,HAS_ELEMENT
MECP2,MECP2:TATABox,TATABox,HAS_ELEMENT
MECP2,MECP2:CpGIsland,CpGIsland,HAS_ELEMENT
MECP2,MECP2:FivePrimeUTR,FivePrimeUTR,HAS_ELEMENT
MECP2,MECP2:ThreePrimeUTR,ThreePrimeUTR,HAS_ELEMENT
MECP2,MECP2:PolyASignal,PolyASignal,HAS_ELEMENT
