gene,go_id,evidence_code
TP53,GO:0004672,IEA
BRCA1,GO:0008283,IDA
BRCA1,GO:0006355,IEA
BRCA2,GO:0006915,ISS
BRCA2,GO:0004672,ISS
EGFR,GO:0006355,IDA
EGFR,GO:0005886,TAS
KRAS,GO:0006355,TAS
KRAS,GO:0005886,TAS
MYC,GO:0005634,ISS
APC,GO:0004672,TAS
APC,GO:0008283,IDA
PTEN,GO:0004672,TAS
PTEN,GO:0006281,IEA
RB1,GO:0005886,IDA
RB1,GO:0006355,TAS
RB1,GO:0008283,TAS
CFTR,GO:0003700,TAS
HBB,GO:0006915,ISS
HBB,GO:0006281,IDA
HBB,GO:0008283,ISS
HTT,GO:0004672,TAS
HTT,GO:0006355,ISS
DMD,GO:0006355,ISS
DMD,GO:0004672,TAS
FMR1,GO:0006281,ISS
FMR1,GO:0006355,IEA
FMR1,GO:0003700,IDA
MECP2,GO:0008283,TAS
APOE,GO:0005886,IEA
APOE,GO:0006915,IDA
APP,GO:0004672,ISS
APP,GO:0006281,IEA
APP,GO:0005886,IDA
PSEN1,GO:0005634,TAS
PSEN1,GO:0008283,IDA
PSEN1,GO:0006281,IEA
SNCA,GO:0006281,ISS
LRRK2,GO:0005886,TAS
LRRK2,GO:0006915,TAS
LRRK2,GO:0006355,ISS
SOD1,GO:0006915,ISS
G6PD,GO:0003700,IDA
LDLR,GO:0004672,IDA
MLH1,GO:0004672,TAS
MLH1,GO:0006355,TAS
MLH1,GO:0005634,IEA
MSH2,GO:0006915,IDA
MSH2,GO:0006281,TAS
MSH2,GO:0003700,IDA
VHL,GO:0008283,IDA
NF1,GO:0004672,IEA
NF2,GO:0005634,IDA
NF2,GO:0008283,IEA
TSC1,GO:0006915,ISS
TSC2,GO:0004672,ISS
TSC2,GO:0006915,IEA
TSC2,GO:0008283,IDA
FBN1,GO:0003700,ISS
FBN1,GO:0008283,TAS
COL1A1,GO:0006281,IDA
PAH,GO:0006355,IEA
PAH,GO:0005886,IDA
GBA,GO:0006281,TAS
GBA,GO:0003700,IDA
SMN1,GO:0006915,IEA
SMN1,GO:0005886,TAS
ATM,GO:0006915,IDA
WT1,GO:0006915,IEA
WT1,GO:0004672,IDA
WT1,GO:0005886,IDA
MEN1,GO:0005634,IEA
RET,GO:0003700,IEA
KIT,GO:0006915,ISS
KIT,GO:0005634,IEA
KIT,GO:0003700,ISS
ABL1,GO:0006915,ISS
ABL1,GO:0005634,IDA
ABL1,GO:0006281,ISS
BCR,GO:0004672,IEA
BCR,GO:0006355,IDA
FLT3,GO:0005886,ISS
FLT3,GO:0008283,IDA
JAK2,GO:0006281,TAS
JAK2,GO:0004672,TAS
IDH1,GO:0006281,TAS
IDH1,GO:0005886,IEA
CDKN2A,GO:0008283,IEA
CDKN2A,GO:0004672,TAS
MITF,GO:0008283,IEA
MITF,GO:0003700,IEA
VEGFA,GO:0005886,ISS
VEGFA,GO:0004672,IDA
TNF,GO:0005634,TAS
IL6,GO:0006281,ISS
INS,GO:0004672,ISS
INS,GO:0008283,IEA
INS,GO:0006281,IEA
GCK,GO:0004672,IDA
GCK,GO:0003700,TAS
HNF1A,GO:0006355,TAS
F8,GO:0004672,IEA
F8,GO:0006281,IEA
F9,GO:0006281,TAS
F9,GO:0004672,ISS
CYP21A2,GO:0006355,IEA
CYP21A2,GO:0008283,IDA
