gene,pathway_id,rel
TP53,R-HSA-69278,participates_in
TP53,hsa04110,participates_in
TP53,hsa04210,participates_in
BRCA1,R-HSA-73894,participates_in
BRCA1,R-HSA-1640170,participates_in
BRCA2,R-HSA-73894,participates_in
EGFR,hsa04010,participates_in
EGFR,hsa04151,participates_in
EGFR,R-HSA-162582,participates_in
KRAS,hsa04010,participates_in
KRAS,hsa04151,participates_in
MYC,hsa04110,participates_in
MYC,hsa04310,participates_in
APC,hsa04310,participates_in
PTEN,hsa04151,participates_in
RB1,hsa04110,participates_in
RB1,R-HSA-1640170,participates_in
JAK2,hsa04630,participates_in
ABL1,hsa04010,participates_in
FLT3,hsa04010,participates_in
FLT3,hsa04151,participates_in
RET,hsa04010,participates_in
KIT,hsa04010,participates_in
KIT,hsa04151,participates_in
TNF,hsa04210,participates_in
IL6,hsa04630,participates_in
VEGFA,hsa04151,participates_in
ATM,R-HSA-73894,participates_in
MLH1,R-HSA-73894,participates_in
MSH2,R-HSA-73894,participates_in
