gene,transcript_id,tag
TP53,ENST00100000,canonical
BRCA1,ENST00100001,canonical
BRCA2,ENST00100002,canonical
EGFR,ENST00100003,canonical
KRAS,ENST00100004,canonical
MYC,ENST00100005,canonical
APC,ENST00100006,canonical
PTEN,ENST00100007,canonical
RB1,ENST00100008,canonical
CFTR,ENST00100009,canonical
HBB,ENST00100010,canonical
HTT,ENST00100011,canonical
DMD,ENST00100012,canonical
FMR1,ENST00100013,canonical
MECP2,ENST00100014,canonical
APOE,ENST00100015,canonical
APP,ENST00100016,canonical
PSEN1,ENST00100017,canonical
SNCA,ENST00100018,canonical
LRRK2,ENST00100019,canonical
SOD1,ENST00100020,canonical
G6PD,ENST00100021,canonical
LDLR,ENST00100022,canonical
MLH1,ENST00100023,canonical
MSH2,ENST00100024,canonical
VHL,ENST00100025,canonical
NF1,ENST00100026,canonical
NF2,ENST00100027,canonical
TSC1,ENST00100028,canonical
TSC2,ENST00100029,canonical
FBN1,ENST00100030,canonical
COL1A1,ENST00100031,canonical
PAH,ENST00100032,canonical
GBA,ENST00100033,canonical
SMN1,ENST00100034,canonical
ATM,ENST00100035,canonical
WT1,ENST00100036,canonical
MEN1,ENST00100037,canonical
RET,ENST00100038,canonical
KIT,ENST00100039,canonical
ABL1,ENST00100040,canonical
BCR,ENST00100041,canonical
FLT3,ENST00100042,canonical
JAK2,ENST00100043,canonical
IDH1,ENST00100044,canonical
CDKN2A,ENST00100045,canonical
MITF,ENST00100046,canonical
VEGFA,ENST00100047,canonical
TNF,ENST00100048,canonical
IL6,ENST00100049,canonical
INS,ENST00100050,canonical
GCK,ENST00100051,canonical
HNF1A,ENST00100052,canonical
F8,ENST00100053,canonical
F9,ENST00100054,canonical
CYP21A2,ENST00100055,canonical
