tf_symbol,bindingsite_id,score
SP1,TP53:TFBS:SP1,0.71
STAT3,TP53:TFBS:STAT3,0.71
YY1,BRCA1:TFBS:YY1,0.9
STAT3,BRCA1:TFBS:STAT3,0.7
E2F1,BRCA1:TFBS:E2F1,0.68
HIF1A,BRCA1:TFBS:HIF1A,0.66
HIF1A,BRCA2:TFBS:HIF1A,0.75
TBP,BRCA2:TFBS:TBP,0.97
CREB1,EGFR:TFBS:CREB1,0.68
YY1,EGFR:TFBS:YY1,0.83
YY1,KRAS:TFBS:YY1,0.94
NFKB1,KRAS:TFBS:NFKB1,0.88
CREB1,KRAS:TFBS:CREB1,0.75
SP1,MYC:TFBS:SP1,0.95
STAT3,MYC:TFBS:STAT3,0.86
TBP,APC:TFBS:TBP,0.91
SP1,APC:TFBS:SP1,0.65
HIF1A,APC:TFBS:HIF1A,0.92
E2F1,APC:TFBS:E2F1,0.93
HIF1A,PTEN:TFBS:HIF1A,0.91
CREB1,PTEN:TFBS:CREB1,0.82
GATA1,RB1:TFBS:GATA1,0.63
YY1,RB1:TFBS:YY1,0.69
NFKB1,RB1:TFBS:NFKB1,0.83
SP1,RB1:TFBS:SP1,0.8
YY1,CFTR:TFBS:YY1,0.96
CREB1,CFTR:TFBS:CREB1,0.66
YY1,HBB:TFBS:YY1,0.71
NFKB1,HBB:TFBS:NFKB1,0.93
CREB1,HTT:TFBS:CREB1,0.77
NFKB1,HTT:TFBS:NFKB1,0.81
GATA1,HTT:TFBS:GATA1,0.65
CTCF,HTT:TFBS:CTCF,0.74
STAT3,DMD:TFBS:STAT3,0.87
CREB1,DMD:TFBS:CREB1,0.68
NFKB1,DMD:TFBS:NFKB1,0.61
SP1,FMR1:TFBS:SP1,0.88
TBP,FMR1:TFBS:TBP,0.75
HIF1A,FMR1:TFBS:HIF1A,0.6
TBP,MECP2:TFBS:TBP,0.73
CREB1,MECP2:TFBS:CREB1,0.86
YY1,MECP2:TFBS:YY1,0.82
E2F1,MECP2:TFBS:E2F1,0.68
CREB1,APOE:TFBS:CREB1,0.68
STAT3,APOE:TFBS:STAT3,0.93
TBP,APP:TFBS:TBP,0.67
HIF1A,APP:TFBS:HIF1A,0.7
CREB1,PSEN1:TFBS:CREB1,0.84
YY1,PSEN1:TFBS:YY1,0.71
YY1,SNCA:TFBS:YY1,0.68
GATA1,SNCA:TFBS:GATA1,0.61
HIF1A,SNCA:TFBS:HIF1A,0.97
HIF1A,LRRK2:TFBS:HIF1A,0.81
NFKB1,LRRK2:TFBS:NFKB1,0.63
GATA1,LRRK2:TFBS:GATA1,0.7
TBP,LRRK2:TFBS:TBP,0.94
CTCF,SOD1:TFBS:CTCF,0.65
NFKB1,SOD1:TFBS:NFKB1,0.87
HIF1A,G6PD:TFBS:HIF1A,0.87
STAT3,G6PD:TFBS:STAT3,0.87
TBP,G6PD:TFBS:TBP,0.62
CTCF,LDLR:TFBS:CTCF,0.77
YY1,LDLR:TFBS:YY1,0.96
GATA1,LDLR:TFBS:GATA1,0.84
CREB1,MLH1:TFBS:CREB1,0.63
YY1,MLH1:TFBS:YY1,0.79
SP1,MLH1:TFBS:SP1,0.71
CTCF,MLH1:TFBS:CTCF,0.74
GATA1,MSH2:TFBS:GATA1,0.83
CREB1,MSH2:TFBS:CREB1,0.68
GATA1,VHL:TFBS:GATA1,0.78
TBP,VHL:TFBS:TBP,0.97
SP1,VHL:TFBS:SP1,0.63
CREB1,VHL:TFBS:CREB1,0.82
CTCF,NF1:TFBS:CTCF,0.68
TBP,NF1:TFBS:TBP,0.67
HIF1A,NF2:TFBS:HIF1A,0.69
TBP,NF2:TFBS:TBP,0.62
E2F1,TSC1:TFBS:E2F1,0.98
CREB1,TSC1:TFBS:CREB1,0.86
SP1,TSC1:TFBS:SP1,0.8
GATA1,TSC1:TFBS:GATA1,0.85
E2F1,TSC2:TFBS:E2F1,0.65
CREB1,TSC2:TFBS:CREB1,0.94
CTCF,FBN1:TFBS:CTCF,0.61
STAT3,FBN1:TFBS:STAT3,0.97
NFKB1,FBN1:TFBS:NFKB1,0.8
GATA1,FBN1:TFBS:GATA1,0.78
CREB1,COL1A1:TFBS:CREB1,0.93
SP1,COL1A1:TFBS:SP1,0.81
CTCF,COL1A1:TFBS:CTCF,0.78
E2F1,COL1A1:TFBS:E2F1,0.82
TBP,PAH:TFBS:TBP,0.96
GATA1,PAH:TFBS:GATA1,0.63
CTCF,PAH:TFBS:CTCF,0.76
TBP,GBA:TFBS:TBP,0.87
CTCF,GBA:TFBS:CTCF,0.74
GATA1,GBA:TFBS:GATA1,0.87
YY1,SMN1:TFBS:YY1,0.99
NFKB1,SMN1:TFBS:NFKB1,0.78
TBP,SMN1:TFBS:TBP,0.69
STAT3,SMN1:TFBS:STAT3,0.61
CTCF,ATM:TFBS:CTCF,0.85
E2F1,ATM:TFBS:E2F1,0.86
E2F1,WT1:TFBS:E2F1,0.65
HIF1A,WT1:TFBS:HIF1A,0.96
NFKB1,WT1:TFBS:NFKB1,0.72
E2F1,MEN1:TFBS:E2F1,0.81
TBP,MEN1:TFBS:TBP,0.83
HIF1A,MEN1:TFBS:HIF1A,0.69
SP1,MEN1:TFBS:SP1,0.96
YY1,RET:TFBS:YY1,0.76
HIF1A,RET:TFBS:HIF1A,0.61
NFKB1,RET:TFBS:NFKB1,0.74
NFKB1,KIT:TFBS:NFKB1,0.92
STAT3,KIT:TFBS:STAT3,0.9
SP1,ABL1:TFBS:SP1,0.91
E2F1,ABL1:TFBS:E2F1,0.65
SP1,BCR:TFBS:SP1,0.76
CTCF,BCR:TFBS:CTCF,0.95
GATA1,BCR:TFBS:GATA1,0.84
HIF1A,FLT3:TFBS:HIF1A,0.78
E2F1,FLT3:TFBS:E2F1,0.86
YY1,JAK2:TFBS:YY1,0.97
SP1,JAK2:TFBS:SP1,0.94
GATA1,IDH1:TFBS:GATA1,0.82
STAT3,IDH1:TFBS:STAT3,0.77
TBP,IDH1:TFBS:TBP,0.86
NFKB1,IDH1:TFBS:NFKB1,0.87
HIF1A,CDKN2A:TFBS:HIF1A,0.74
GATA1,CDKN2A:TFBS:GATA1,0.63
E2F1,CDKN2A:TFBS:E2F1,0.86
HIF1A,MITF:TFBS:HIF1A,0.68
SP1,MITF:TFBS:SP1,0.73
HIF1A,VEGFA:TFBS:HIF1A,0.61
SP1,VEGFA:TFBS:SP1,0.82
TBP,TNF:TFBS:TBP,0.69
HIF1A,TNF:TFBS:HIF1A,0.81
CREB1,TNF:TFBS:CREB1,0.97
E2F1,TNF:TFBS:E2F1,0.7
CTCF,IL6:TFBS:CTCF,0.63
E2F1,IL6:TFBS:E2F1,0.62
YY1,IL6:TFBS:YY1,0.62
TBP,IL6:TFBS:TBP,0.83
GATA1,INS:TFBS:GATA1,0.95
TBP,INS:TFBS:TBP,0.67
E2F1,GCK:TFBS:E2F1,0.64
TBP,GCK:TFBS:TBP,0.86
NFKB1,HNF1A:TFBS:NFKB1,0.75
TBP,HNF1A:TFBS:TBP,0.92
CREB1,HNF1A:TFBS:CREB1,0.85
YY1,F8:TFBS:YY1,0.65
SP1,F8:TFBS:SP1,0.84
E2F1,F8:TFBS:E2F1,0.74
HIF1A,F8:TFBS:HIF1A,0.89
NFKB1,F9:TFBS:NFKB1,0.94
CREB1,F9:TFBS:CREB1,0.65
SP1,F9:TFBS:SP1,0.66
E2F1,F9:TFBS:E2F1,0.78
GATA1,CYP21A2:TFBS:GATA1,0.84
NFKB1,CYP21A2:TFBS:NFKB1,0.66
CTCF,CYP21A2:TFBS:CTCF,0.9
