tf_symbol,gene,effect,activity_multiplier,tissue,evidence
SP1,TP53,represses,0.93,brain,ChIP-seq
STAT3,TP53,activates,1.29,colon,ChIP-seq
YY1,BRCA1,represses,0.39,colon,ChIP-seq
STAT3,BRCA1,represses,2.85,ubiquitous,ChIP-seq
E2F1,BRCA1,activates,2.69,bone_marrow,ChIP-seq
HIF1A,BRCA1,represses,2.31,skin,ChIP-seq
HIF1A,BRCA2,activates,1.73,skin,ChIP-seq
TBP,BRCA2,activates,0.61,skin,ChIP-seq
CREB1,EGFR,activates,0.74,skin,ChIP-seq
YY1,EGFR,activates,0.6,colon,ChIP-seq
YY1,KRAS,activates,0.87,skin,ChIP-seq
NFKB1,KRAS,represses,1.14,bone_marrow,ChIP-seq
CREB1,KRAS,activates,1.52,breast,ChIP-seq
SP1,MYC,activates,0.49,breast,ChIP-seq
STAT3,MYC,represses,0.66,kidney,ChIP-seq
TBP,APC,represses,0.82,skin,ChIP-seq
SP1,APC,represses,1.55,brain,ChIP-seq
HIF1A,APC,activates,0.56,bone_marrow,ChIP-seq
E2F1,APC,activates,2.8,breast,ChIP-seq
HIF1A,PTEN,represses,2.18,ubiquitous,ChIP-seq
CREB1,PTEN,activates,0.72,lung,ChIP-seq
GATA1,RB1,represses,1.91,bone_marrow,ChIP-seq
YY1,RB1,represses,2.7,breast,ChIP-seq
NFKB1,RB1,activates,1.43,kidney,ChIP-seq
SP1,RB1,activates,0.85,ubiquitous,ChIP-seq
YY1,CFTR,activates,2.67,colon,ChIP-seq
CREB1,CFTR,activates,2.2,kidney,ChIP-seq
YY1,HBB,represses,1.23,bone_marrow,ChIP-seq
NFKB1,HBB,activates,0.98,liver,ChIP-seq
CREB1,HTT,represses,0.5,ubiquitous,ChIP-seq
NFKB1,HTT,activates,1.87,blood,ChIP-seq
GATA1,HTT,represses,2.73,liver,ChIP-seq
CTCF,HTT,activates,2.1,colon,ChIP-seq
STAT3,DMD,activates,0.4,pancreas,ChIP-seq
CREB1,DMD,activates,1.24,breast,ChIP-seq
NFKB1,DMD,represses,1.19,brain,ChIP-seq
