transcript_id,protein_id
ENST00100000,ENSP00100000
ENST00100001,ENSP00100001
ENST00100002,ENSP00100002
ENST00100003,ENSP00100003
ENST00100004,ENSP00100004
ENST00100005,ENSP00100005
ENST00100006,ENSP00100006
ENST00100007,ENSP00100007
ENST00100008,ENSP00100008
ENST00100009,ENSP00100009
ENST00100010,ENSP00100010
ENST00100011,ENSP00100011
ENST00100012,ENSP00100012
ENST00100013,ENSP00100013
ENST00100014,ENSP00100014
ENST00100015,ENSP00100015
ENST00100016,ENSP00100016
ENST00100017,ENSP00100017
ENST00100018,ENSP00100018
ENST00100019,ENSP00100019
ENST00100020,ENSP00100020
ENST00100021,ENSP00100021
ENST00100022,ENSP00100022
ENST00100023,ENSP00100023
ENST00100024,ENSP00100024
ENST00100025,ENSP00100025
ENST00100026,ENSP00100026
ENST00100027,ENSP00100027
ENST00100028,ENSP00100028
ENST00100029,ENSP00100029
ENST00100030,ENSP00100030
ENST00100031,ENSP00100031
ENST00100032,ENSP00100032
ENST00100033,ENSP00100033
ENST00100034,ENSP00100034
ENST00100035,ENSP00100035
ENST00100036,ENSP00100036
ENST00100037,ENSP00100037
ENST00100038,ENSP00100038
ENST00100039,ENSP00100039
ENST00100040,ENSP00100040
ENST00100041,ENSP00100041
ENST00100042,ENSP00100042
ENST00100043,ENSP00100043
ENST00100044,ENSP00100044
ENST00100045,ENSP00100045
ENST00100046,ENSP00100046
ENST00100047,ENSP00100047
ENST00100048,ENSP00100048
ENST00100049,ENSP00100049
ENST00100050,ENSP00100050
ENST00100051,ENSP00100051
ENST00100052,ENSP00100052
ENST00100053,ENSP00100053
ENST00100054,ENSP00100054
ENST00100055,ENSP00100055
