id,gene,biotype,exon_count
ENST00100000,TP53,protein_coding,27
ENST00100001,BRCA1,protein_coding,40
ENST00100002,BRCA2,protein_coding,30
ENST00100003,EGFR,protein_coding,5
ENST00100004,KRAS,protein_coding,8
ENST00100005,MYC,protein_coding,32
ENST00100006,APC,protein_coding,39
ENST00100007,PTEN,protein_coding,35
ENST00100008,RB1,protein_coding,2
ENST00100009,CFTR,protein_coding,33
ENST00100010,HBB,protein_coding,37
ENST00100011,HTT,protein_coding,16
ENST00100012,DMD,protein_coding,10
ENST00100013,FMR1,protein_coding,19
ENST00100014,MECP2,protein_coding,28
ENST00100015,APOE,protein_coding,1
ENST00100016,APP,protein_coding,40
ENST00100017,PSEN1,protein_coding,23
ENST00100018,SNCA,protein_coding,16
ENST00100019,LRRK2,protein_coding,37
ENST00100020,SOD1,protein_coding,27
ENST00100021,G6PD,protein_coding,12
ENST00100022,LDLR,protein_coding,6
ENST00100023,MLH1,protein_coding,34
ENST00100024,MSH2,protein_coding,24
ENST00100025,VHL,protein_coding,5
ENST00100026,NF1,protein_coding,34
ENST00100027,NF2,protein_coding,35
ENST00100028,TSC1,protein_coding,33
ENST00100029,TSC2,protein_coding,33
ENST00100030,FBN1,protein_coding,36
ENST00100031,COL1A1,protein_coding,2
ENST00100032,PAH,protein_coding,25
ENST00100033,GBA,protein_coding,31
ENST00100034,SMN1,protein_coding,3
ENST00100035,ATM,protein_coding,25
ENST00100036,WT1,protein_coding,24
ENST00100037,MEN1,protein_coding,17
ENST00100038,RET,protein_coding,2
ENST00100039,KIT,protein_coding,23
ENST00100040,ABL1,protein_coding,5
ENST00100041,BCR,protein_coding,23
ENST00100042,FLT3,protein_coding,16
ENST00100043,JAK2,protein_coding,7
ENST00100044,IDH1,protein_coding,38
ENST00100045,CDKN2A,protein_coding,22
ENST00100046,MITF,protein_coding,9
ENST00100047,VEGFA,protein_coding,3
ENST00100048,TNF,protein_coding,23
ENST00100049,IL6,protein_coding,35
ENST00100050,INS,protein_coding,22
ENST00100051,GCK,protein_coding,12
ENST00100052,HNF1A,protein_coding,30
ENST00100053,F8,protein_coding,31
ENST00100054,F9,protein_coding,12
ENST00100055,CYP21A2,protein_coding,9
