id,label,chromosome,start,end,tissue_specificity,activity_score
TP53:Enhancer1,Enhancer,chr17,172594825,172595325,ubiquitous,0.57
TP53:Enhancer2,Enhancer,chr17,172632825,172633325,bone_marrow,0.69
BRCA1:Enhancer1,Enhancer,chr17,30860207,30860707,bone_marrow,0.41
BRCA1:Enhancer2,Enhancer,chr17,31005207,31005707,blood,0.63
BRCA2:Enhancer1,Enhancer,chr13,7833773,7834273,kidney,0.54
BRCA2:Enhancer2,Enhancer,chr13,7688773,7689273,skin,0.59
EGFR:Enhancer1,Enhancer,chr7,200178447,200178947,colon,0.29
EGFR:Enhancer2,Enhancer,chr7,200178447,200178947,ubiquitous,0.41
KRAS:Enhancer1,Enhancer,chr12,74802621,74803121,liver,0.39
KRAS:Enhancer2,Enhancer,chr12,74835621,74836121,brain,0.98
MYC:Enhancer1,Enhancer,chr8,66687657,66688157,colon,0.22
APC:Enhancer1,Enhancer,chr5,60892677,60893177,pancreas,0.85
APC:Enhancer2,Enhancer,chr5,60905677,60906177,muscle,0.53
PTEN:Enhancer1,Enhancer,chr10,38464926,38465426,pancreas,0.59
RB1:Enhancer1,Enhancer,chr13,198644986,198645486,kidney,0.79
CFTR:Enhancer1,Enhancer,chr7,28488338,28488838,lung,0.52
CFTR:Enhancer2,Enhancer,chr7,28463338,28463838,liver,0.57
HBB:Enhancer1,Enhancer,chr11,182770134,182770634,skin,0.44
HTT:Enhancer1,Enhancer,chr4,199941483,199941983,muscle,0.86
DMD:Enhancer1,Enhancer,chrX,147425715,147426215,ubiquitous,0.32
DMD:Enhancer2,Enhancer,chrX,147370715,147371215,muscle,0.22
FMR1:Enhancer1,Enhancer,chrX,24325464,24325964,bone_marrow,0.61
FMR1:Enhancer2,Enhancer,chrX,24287464,24287964,brain,0.9
MECP2:Enhancer1,Enhancer,chrX,159497126,159497626,muscle,0.26
APOE:Enhancer1,Enhancer,chr19,114266777,114267277,pancreas,0.74
APOE:Enhancer2,Enhancer,chr19,114208777,114209277,lung,0.61
APP:Enhancer1,Enhancer,chr21,9651599,9652099,ubiquitous,0.51
PSEN1:Enhancer1,Enhancer,chr14,9006630,9007130,kidney,0.85
PSEN1:Enhancer2,Enhancer,chr14,9028630,9029130,pancreas,0.92
SNCA:Enhancer1,Enhancer,chr4,26126125,26126625,muscle,0.76
LRRK2:Enhancer1,Enhancer,chr12,59698184,59698684,breast,0.42
SOD1:Enhancer1,Enhancer,chr21,63404433,63404933,pancreas,0.22
SOD1:Enhancer2,Enhancer,chr21,63404433,63404933,bone_marrow,0.23
G6PD:Enhancer1,Enhancer,chrX,136630277,136630777,lung,0.29
LDLR:Enhancer1,Enhancer,chr19,162553172,162553672,muscle,0.86
LDLR:Enhancer2,Enhancer,chr19,162611172,162611672,ubiquitous,0.32
MLH1:Enhancer1,Enhancer,chr3,8131195,8131695,breast,0.48
MSH2:Enhancer1,Enhancer,chr2,151646074,151646574,ubiquitous,0.56
MSH2:Enhancer2,Enhancer,chr2,151633074,151633574,colon,0.3
VHL:Enhancer1,Enhancer,chr3,54363074,54363574,liver,0.98
NF1:Enhancer1,Enhancer,chr17,193235051,193235551,kidney,0.83
NF1:Enhancer2,Enhancer,chr17,193213051,193213551,lung,0.89
NF2:Enhancer1,Enhancer,chr22,175440024,175440524,liver,0.39
NF2:Enhancer2,Enhancer,chr22,175402024,175402524,bone_marrow,0.39
TSC1:Enhancer1,Enhancer,chr9,189268488,189268988,brain,0.57
TSC1:Enhancer2,Enhancer,chr9,189290488,189290988,skin,0.6
TSC2:Enhancer1,Enhancer,chr16,147269615,147270115,colon,0.74
TSC2:Enhancer2,Enhancer,chr16,147289615,147290115,lung,0.73
FBN1:Enhancer1,Enhancer,chr15,113643994,113644494,pancreas,0.7
FBN1:Enhancer2,Enhancer,chr15,113588994,113589494,lung,0.55
COL1A1:Enhancer1,Enhancer,chr17,60124078,60124578,lung,0.82
PAH:Enhancer1,Enhancer,chr12,121703634,121704134,pancreas,0.76
PAH:Enhancer2,Enhancer,chr12,121703634,121704134,blood,0.6
GBA:Enhancer1,Enhancer,chr1,159167802,159168302,bone_marrow,0.77
GBA:Enhancer2,Enhancer,chr1,159129802,159130302,breast,0.7
