id,label,element_class,chromosome,start,end,strand
TP53:CorePromoter,CorePromoter,Promoter,chr17,172644725,172644845,-
TP53:ProximalPromoter,ProximalPromoter,Promoter,chr17,172644525,172644725,-
TP53:TATABox,TATABox,PromoterMotif,chr17,172644795,172644803,-
TP53:CpGIsland,CpGIsland,PromoterMotif,chr17,172644625,172645525,-
TP53:FivePrimeUTR,FivePrimeUTR,UTR,chr17,172644875,172645055,-
TP53:ThreePrimeUTR,ThreePrimeUTR,UTR,chr17,172647825,172648625,-
TP53:PolyASignal,PolyASignal,PolyASignal,chr17,172648625,172648631,-
TP53:Terminator,Terminator,Terminator,chr17,172648825,172648865,-
BRCA1:CorePromoter,CorePromoter,Promoter,chr17,30885107,30885227,-
BRCA1:ProximalPromoter,ProximalPromoter,Promoter,chr17,30884907,30885107,-
BRCA1:TATABox,TATABox,PromoterMotif,chr17,30885177,30885185,-
BRCA1:CpGIsland,CpGIsland,PromoterMotif,chr17,30885007,30885907,-
BRCA1:FivePrimeUTR,FivePrimeUTR,UTR,chr17,30885257,30885437,-
BRCA1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr17,30888207,30889007,-
BRCA1:PolyASignal,PolyASignal,PolyASignal,chr17,30889007,30889013,-
BRCA1:Terminator,Terminator,Terminator,chr17,30889207,30889247,-
BRCA2:CorePromoter,CorePromoter,Promoter,chr13,7713673,7713793,+
BRCA2:ProximalPromoter,ProximalPromoter,Promoter,chr13,7713473,7713673,+
BRCA2:TATABox,TATABox,PromoterMotif,chr13,7713743,7713751,+
BRCA2:CpGIsland,CpGIsland,PromoterMotif,chr13,7713573,7714473,+
BRCA2:FivePrimeUTR,FivePrimeUTR,UTR,chr13,7713823,7714003,+
BRCA2:ThreePrimeUTR,ThreePrimeUTR,UTR,chr13,7716773,7717573,+
BRCA2:PolyASignal,PolyASignal,PolyASignal,chr13,7717573,7717579,+
BRCA2:Terminator,Terminator,Terminator,chr13,7717773,7717813,+
EGFR:CorePromoter,CorePromoter,Promoter,chr7,200058347,200058467,+
EGFR:ProximalPromoter,ProximalPromoter,Promoter,chr7,200058147,200058347,+
EGFR:TATABox,TATABox,PromoterMotif,chr7,200058417,200058425,+
EGFR:CpGIsland,CpGIsland,PromoterMotif,chr7,200058247,200059147,+
EGFR:FivePrimeUTR,FivePrimeUTR,UTR,chr7,200058497,200058677,+
EGFR:ThreePrimeUTR,ThreePrimeUTR,UTR,chr7,200061447,200062247,+
EGFR:PolyASignal,PolyASignal,PolyASignal,chr7,200062247,200062253,+
EGFR:Terminator,Terminator,Terminator,chr7,200062447,200062487,+
KRAS:CorePromoter,CorePromoter,Promoter,chr12,74827521,74827641,-
KRAS:ProximalPromoter,ProximalPromoter,Promoter,chr12,74827321,74827521,-
KRAS:TATABox,TATABox,PromoterMotif,chr12,74827591,74827599,-
KRAS:CpGIsland,CpGIsland,PromoterMotif,chr12,74827421,74828321,-
KRAS:FivePrimeUTR,FivePrimeUTR,UTR,chr12,74827671,74827851,-
KRAS:ThreePrimeUTR,ThreePrimeUTR,UTR,chr12,74830621,74831421,-
KRAS:PolyASignal,PolyASignal,PolyASignal,chr12,74831421,74831427,-
KRAS:Terminator,Terminator,Terminator,chr12,74831621,74831661,-
MYC:CorePromoter,CorePromoter,Promoter,chr8,66737557,66737677,+
MYC:ProximalPromoter,ProximalPromoter,Promoter,chr8,66737357,66737557,+
MYC:TATABox,TATABox,PromoterMotif,chr8,66737627,66737635,+
MYC:CpGIsland,CpGIsland,PromoterMotif,chr8,66737457,66738357,+
MYC:FivePrimeUTR,FivePrimeUTR,UTR,chr8,66737707,66737887,+
MYC:ThreePrimeUTR,ThreePrimeUTR,UTR,chr8,66740657,66741457,+
MYC:PolyASignal,PolyASignal,PolyASignal,chr8,66741457,66741463,+
