id,label,chromosome,start,end,tf_symbol
TP53:TFBS:SP1,TFBindingSite,chr17,172644608,172644620,SP1
TP53:TFBS:STAT3,TFBindingSite,chr17,172644708,172644720,STAT3
BRCA1:TFBS:YY1,TFBindingSite,chr17,30884991,30885003,YY1
BRCA1:TFBS:STAT3,TFBindingSite,chr17,30885085,30885097,STAT3
BRCA1:TFBS:E2F1,TFBindingSite,chr17,30885107,30885119,E2F1
BRCA1:TFBS:HIF1A,TFBindingSite,chr17,30885070,30885082,HIF1A
BRCA2:TFBS:HIF1A,TFBindingSite,chr13,7713655,7713667,HIF1A
BRCA2:TFBS:TBP,TFBindingSite,chr13,7713533,7713545,TBP
EGFR:TFBS:CREB1,TFBindingSite,chr7,200058272,200058284,CREB1
EGFR:TFBS:YY1,TFBindingSite,chr7,200058427,200058439,YY1
KRAS:TFBS:YY1,TFBindingSite,chr12,74827466,74827478,YY1
KRAS:TFBS:NFKB1,TFBindingSite,chr12,74827408,74827420,NFKB1
KRAS:TFBS:CREB1,TFBindingSite,chr12,74827435,74827447,CREB1
MYC:TFBS:SP1,TFBindingSite,chr8,66737620,66737632,SP1
MYC:TFBS:STAT3,TFBindingSite,chr8,66737566,66737578,STAT3
APC:TFBS:TBP,TFBindingSite,chr5,60917571,60917583,TBP
APC:TFBS:SP1,TFBindingSite,chr5,60917543,60917555,SP1
APC:TFBS:HIF1A,TFBindingSite,chr5,60917544,60917556,HIF1A
APC:TFBS:E2F1,TFBindingSite,chr5,60917519,60917531,E2F1
PTEN:TFBS:HIF1A,TFBindingSite,chr10,38456706,38456718,HIF1A
PTEN:TFBS:CREB1,TFBindingSite,chr10,38456706,38456718,CREB1
RB1:TFBS:GATA1,TFBindingSite,chr13,198694836,198694848,GATA1
RB1:TFBS:YY1,TFBindingSite,chr13,198694746,198694758,YY1
RB1:TFBS:NFKB1,TFBindingSite,chr13,198694818,198694830,NFKB1
RB1:TFBS:SP1,TFBindingSite,chr13,198694822,198694834,SP1
CFTR:TFBS:YY1,TFBindingSite,chr7,28513285,28513297,YY1
CFTR:TFBS:CREB1,TFBindingSite,chr7,28513246,28513258,CREB1
HBB:TFBS:YY1,TFBindingSite,chr11,182650045,182650057,YY1
HBB:TFBS:NFKB1,TFBindingSite,chr11,182649952,182649964,NFKB1
HTT:TFBS:CREB1,TFBindingSite,chr4,199821283,199821295,CREB1
HTT:TFBS:NFKB1,TFBindingSite,chr4,199821425,199821437,NFKB1
HTT:TFBS:GATA1,TFBindingSite,chr4,199821353,199821365,GATA1
HTT:TFBS:CTCF,TFBindingSite,chr4,199821233,199821245,CTCF
DMD:TFBS:STAT3,TFBindingSite,chrX,147395494,147395506,STAT3
DMD:TFBS:CREB1,TFBindingSite,chrX,147395639,147395651,CREB1
DMD:TFBS:NFKB1,TFBindingSite,chrX,147395638,147395650,NFKB1
FMR1:TFBS:SP1,TFBindingSite,chrX,24337356,24337368,SP1
FMR1:TFBS:TBP,TFBindingSite,chrX,24337415,24337427,TBP
FMR1:TFBS:HIF1A,TFBindingSite,chrX,24337333,24337345,HIF1A
MECP2:TFBS:TBP,TFBindingSite,chrX,159509002,159509014,TBP
MECP2:TFBS:CREB1,TFBindingSite,chrX,159508999,159509011,CREB1
MECP2:TFBS:YY1,TFBindingSite,chrX,159508949,159508961,YY1
MECP2:TFBS:E2F1,TFBindingSite,chrX,159509033,159509045,E2F1
APOE:TFBS:CREB1,TFBindingSite,chr19,114258551,114258563,CREB1
