symbol,name,chromosome,cytoband,biotype,strand,tss,organism,taxon_id
TP53,tumor protein p53,chr17,17p13.1,protein_coding,-,172644825,Homo sapiens,9606
BRCA1,BRCA1 DNA repair associated,chr17,17q21.31,protein_coding,-,30885207,Homo sapiens,9606
BRCA2,BRCA2 DNA repair associated,chr13,13q13.1,protein_coding,+,7713773,Homo sapiens,9606
EGFR,epidermal growth factor receptor,chr7,7p11.2,protein_coding,+,200058447,Homo sapiens,9606
KRAS,"KRAS proto-oncogene, GTPase",chr12,12p12.1,protein_coding,-,74827621,Homo sapiens,9606
MYC,"MYC proto-oncogene, bHLH TF",chr8,8q24.21,protein_coding,+,66737657,Homo sapiens,9606
APC,APC regulator of WNT signaling pathway,chr5,5q22.2,protein_coding,+,60917677,Homo sapiens,9606
PTEN,phosphatase and tensin homolog,chr10,10q23.31,protein_coding,+,38456926,Homo sapiens,9606
RB1,RB transcriptional corepressor 1,chr13,13q14.2,protein_coding,+,198694986,Homo sapiens,9606
CFTR,CF transmembrane conductance regulator,chr7,7q31.2,protein_coding,+,28513338,Homo sapiens,9606
HBB,hemoglobin subunit beta,chr11,11p15.4,protein_coding,-,182650134,Homo sapiens,9606
HTT,huntingtin,chr4,4p16.3,protein_coding,+,199821483,Homo sapiens,9606
DMD,dystrophin,chrX,Xp21.2,protein_coding,-,147395715,Homo sapiens,9606
FMR1,FMRP translational regulator 1,chrX,Xq27.3,protein_coding,+,24337464,Homo sapiens,9606
MECP2,methyl-CpG binding protein 2,chrX,Xq28,protein_coding,-,159509126,Homo sapiens,9606
APOE,apolipoprotein E,chr19,19q13.32,protein_coding,+,114258777,Homo sapiens,9606
APP,amyloid beta precursor protein,chr21,21q21.3,protein_coding,-,9531599,Homo sapiens,9606
PSEN1,presenilin 1,chr14,14q24.2,protein_coding,+,8998630,Homo sapiens,9606
SNCA,synuclein alpha,chr4,4q22.1,protein_coding,-,26151125,Homo sapiens,9606
LRRK2,leucine rich repeat kinase 2,chr12,12q12,protein_coding,+,59690184,Homo sapiens,9606
SOD1,superoxide dismutase 1,chr21,21q22.11,protein_coding,+,63454433,Homo sapiens,9606
G6PD,glucose-6-phosphate dehydrogenase,chrX,Xq28,protein_coding,+,136655277,Homo sapiens,9606
LDLR,low density lipoprotein receptor,chr19,19p13.2,protein_coding,+,162603172,Homo sapiens,9606
MLH1,mutL homolog 1,chr3,3p22.2,protein_coding,+,8123195,Homo sapiens,9606
MSH2,mutS homolog 2,chr2,2p21,protein_coding,+,151658074,Homo sapiens,9606
VHL,von Hippel-Lindau tumor suppressor,chr3,3p25.3,protein_coding,+,54375074,Homo sapiens,9606
NF1,neurofibromin 1,chr17,17q11.2,protein_coding,+,193205051,Homo sapiens,9606
NF2,"NF2, moesin-ezrin-radixin like",chr22,22q12.2,protein_coding,+,175452024,Homo sapiens,9606
TSC1,TSC complex subunit 1,chr9,9q34.13,protein_coding,-,189260488,Homo sapiens,9606
TSC2,TSC complex subunit 2,chr16,16p13.3,protein_coding,+,147281615,Homo sapiens,9606
FBN1,fibrillin 1,chr15,15q21.1,protein_coding,-,113613994,Homo sapiens,9606
COL1A1,collagen type I alpha 1 chain,chr17,17q21.33,protein_coding,-,60174078,Homo sapiens,9606
PAH,phenylalanine hydroxylase,chr12,12q23.2,protein_coding,-,121583634,Homo sapiens,9606
GBA,glucosylceramidase beta,chr1,1q22,protein_coding,+,159179802,Homo sapiens,9606
SMN1,"survival of motor neuron 1, telomeric",chr5,5q13.2,protein_coding,+,75676249,Homo sapiens,9606
ATM,ATM serine/threonine kinase,chr11,11q22.3,protein_coding,+,218279832,Homo sapiens,9606
WT1,WT1 transcription factor,chr11,11p13,protein_coding,-,234351028,Homo sapiens,9606
MEN1,menin 1,chr11,11q13.1,protein_coding,-,2744497,Homo sapiens,9606
RET,ret proto-oncogene,chr10,10q11.21,protein_coding,+,204690800,Homo sapiens,9606
KIT,"KIT proto-oncogene, RTK",chr4,4q12,protein_coding,+,217310459,Homo sapiens,9606
ABL1,"ABL proto-oncogene 1, tyrosine kinase",chr9,9q34.12,protein_coding,+,43858220,Homo sapiens,9606
BCR,BCR activator of RhoGEF and GTPase,chr22,22q11.23,protein_coding,+,188405367,Homo sapiens,9606
FLT3,fms related receptor tyrosine kinase 3,chr13,13q12.2,protein_coding,-,114444689,Homo sapiens,9606
JAK2,Janus kinase 2,chr9,9p24.1,protein_coding,+,92335303,Homo sapiens,9606
IDH1,isocitrate dehydrogenase (NADP(+)) 1,chr2,2q34,protein_coding,-,75590520,Homo sapiens,9606
CDKN2A,cyclin dependent kinase inhibitor 2A,chr9,9p21.3,protein_coding,-,42736211,Homo sapiens,9606
MITF,melanocyte inducing transcription factor,chr3,3p13,protein_coding,+,58797847,Homo sapiens,9606
VEGFA,vascular endothelial growth factor A,chr6,6p21.1,protein_coding,+,205948894,Homo sapiens,9606
TNF,tumor necrosis factor,chr6,6p21.33,protein_coding,+,91353911,Homo sapiens,9606
IL6,interleukin 6,chr7,7p15.3,protein_coding,+,28436862,Homo sapiens,9606
INS,insulin,chr11,11p15.5,protein_coding,-,25896273,Homo sapiens,9606
GCK,glucokinase,chr7,7p13,protein_coding,-,102985959,Homo sapiens,9606
HNF1A,HNF1 homeobox A,chr12,12q24.31,protein_coding,+,26962105,Homo sapiens,9606
F8,coagulation factor VIII,chrX,Xq28,protein_coding,-,97362792,Homo sapiens,9606
F9,coagulation factor IX,chrX,Xq27.1,protein_coding,+,228497537,Homo sapiens,9606
CYP21A2,cytochrome P450 family 21 subfamily A 2,chr6,6p21.33,protein_coding,+,93329911,Homo sapiens,9606
